Date,Island,Survey,BTS,ForestCover,Prey,Temperature,Region
7/2/2022,1,1,0,0,94,21,N
7/6/2022,1,2,0,0,94,34,N
7/10/2022,1,3,0,0,94,38,N
7/13/2022,1,4,0,0,94,25,N
7/18/2022,1,5,0,0,94,27,N
7/23/2022,1,6,0,0,94,26,N
7/3/2022,2,1,0,85,82,40,N
7/7/2022,2,2,1,85,82,22,N
7/11/2022,2,3,1,85,82,24,N
7/14/2022,2,4,1,85,82,27,N
7/19/2022,2,5,0,85,82,33,N
7/24/2022,2,6,1,85,82,26,N
7/4/2022,3,1,0,25,76,40,N
7/8/2022,3,2,0,25,76,32,N
7/12/2022,3,3,0,25,76,30,N
7/15/2022,3,4,0,25,76,22,N
7/20/2022,3,5,0,25,76,37,N
7/25/2022,3,6,0,25,76,39,N
7/5/2022,4,1,1,40,84,30,N
7/9/2022,4,2,0,40,84,37,N
7/13/2022,4,3,0,40,84,34,N
7/16/2022,4,4,1,40,84,26,N
7/21/2022,4,5,1,40,84,25,N
7/26/2022,4,6,0,40,84,38,N
7/2/2022,5,1,0,50,69,31,S
7/6/2022,5,2,0,50,69,35,S
7/10/2022,5,3,0,50,69,26,S
7/13/2022,5,4,0,50,69,27,S
7/18/2022,5,5,0,50,69,22,S
7/23/2022,5,6,0,50,69,37,S
7/3/2022,6,1,0,65,78,25,S
7/7/2022,6,2,1,65,78,22,S
7/11/2022,6,3,1,65,78,25,S
7/14/2022,6,4,1,65,78,27,S
7/19/2022,6,5,0,65,78,37,S
7/24/2022,6,6,0,65,78,34,S
7/4/2022,7,1,1,75,90,27,S
7/8/2022,7,2,1,75,90,32,S
7/12/2022,7,3,0,75,90,36,S
7/15/2022,7,4,1,75,90,24,S
7/20/2022,7,5,1,75,90,26,S
7/25/2022,7,6,0,75,90,39,S
7/5/2022,8,1,0,15,66,39,S
7/9/2022,8,2,0,15,66,33,S
7/13/2022,8,3,0,15,66,25,S
7/16/2022,8,4,0,15,66,30,S
7/21/2022,8,5,0,15,66,34,S
7/26/2022,8,6,0,15,66,28,S
7/3/2022,9,1,0,95,83,40,E
7/7/2022,9,2,1,95,83,31,E
7/11/2022,9,3,1,95,83,28,E
7/14/2022,9,4,1,95,83,25,E
7/19/2022,9,5,0,95,83,38,E
7/24/2022,9,6,1,95,83,22,E
7/2/2022,10,1,0,10,92,25,E
7/6/2022,10,2,0,10,92,28,E
7/10/2022,10,3,0,10,92,32,E
7/13/2022,10,4,0,10,92,23,E
7/18/2022,10,5,0,10,92,35,E
7/23/2022,10,6,0,10,92,39,E
7/3/2022,11,1,1,70,79,25,E
7/7/2022,11,2,1,70,79,26,E
7/11/2022,11,3,0,70,79,32,E
7/14/2022,11,4,0,70,79,36,E
7/19/2022,11,5,0,70,79,35,E
7/24/2022,11,6,0,70,79,34,E
7/4/2022,12,1,1,90,90,27,E
7/8/2022,12,2,0,90,90,35,E
7/12/2022,12,3,1,90,90,26,E
7/15/2022,12,4,1,90,90,24,E
7/20/2022,12,5,0,90,90,35,E
7/25/2022,12,6,0,90,90,34,E
7/2/2022,13,1,0,0,34,21,W
7/6/2022,13,2,0,0,34,34,W
7/10/2022,13,3,0,0,34,38,W
7/13/2022,13,4,0,0,34,25,W
7/18/2022,13,5,0,0,34,27,W
7/23/2022,13,6,0,0,34,26,W
7/3/2022,14,1,0,66,54,40,W
7/7/2022,14,2,0,66,54,22,W
7/11/2022,14,3,0,66,54,24,W
7/14/2022,14,4,0,66,54,27,W
7/19/2022,14,5,1,66,54,33,W
7/24/2022,14,6,1,66,54,26,W
7/4/2022,15,1,0,25,16,40,W
7/8/2022,15,2,0,25,16,32,W
7/12/2022,15,3,0,25,16,30,W
7/15/2022,15,4,0,25,16,22,W
7/20/2022,15,5,0,25,16,37,W
7/25/2022,15,6,0,25,16,39,W
7/5/2022,16,1,0,40,34,30,W
7/9/2022,16,2,0,40,34,37,W
7/13/2022,16,3,0,40,34,34,W
7/16/2022,16,4,0,40,34,26,W
7/21/2022,16,5,0,40,34,25,W
7/26/2022,16,6,0,40,34,38,W
7/2/2022,17,1,0,50,19,31,NE
7/6/2022,17,2,0,50,19,35,NE
7/10/2022,17,3,0,50,19,26,NE
7/13/2022,17,4,0,50,19,27,NE
7/18/2022,17,5,0,50,19,22,NE
7/23/2022,17,6,0,50,19,37,NE
7/3/2022,18,1,0,65,28,25,NE
7/7/2022,18,2,0,65,28,22,NE
7/11/2022,18,3,0,65,28,25,NE
7/14/2022,18,4,0,65,28,27,NE
7/19/2022,18,5,0,65,28,37,NE
7/24/2022,18,6,0,65,28,34,NE
7/4/2022,19,1,0,75,10,27,NE
7/8/2022,19,2,0,75,10,32,NE
7/12/2022,19,3,0,75,10,36,NE
7/15/2022,19,4,0,75,10,24,NE
7/20/2022,19,5,0,75,10,26,NE
7/25/2022,19,6,0,75,10,39,NE
7/5/2022,20,1,0,28,36,39,NE
7/9/2022,20,2,0,28,36,33,NE
7/13/2022,20,3,1,28,36,25,NE
7/16/2022,20,4,1,28,36,30,NE
7/21/2022,20,5,0,28,36,34,NE
7/26/2022,20,6,0,28,36,28,NE
7/3/2022,21,1,0,95,23,40,NW
7/7/2022,21,2,0,95,23,31,NW
7/11/2022,21,3,0,95,23,28,NW
7/14/2022,21,4,0,95,23,25,NW
7/19/2022,21,5,0,95,23,38,NW
7/24/2022,21,6,0,95,23,22,NW
7/2/2022,22,1,0,10,12,25,NW
7/6/2022,22,2,0,10,12,28,NW
7/10/2022,22,3,0,10,12,32,NW
7/13/2022,22,4,0,10,12,23,NW
7/18/2022,22,5,0,10,12,35,NW
7/23/2022,22,6,0,10,12,39,NW
7/3/2022,23,1,0,70,39,25,NW
7/7/2022,23,2,0,70,39,26,NW
7/11/2022,23,3,0,70,39,32,NW
7/14/2022,23,4,0,70,39,36,NW
