Date,Stream,Survey,HGM,RockCover,Width,Observers
5/20/2021,A,1,0,5,47,1
5/21/2021,A,2,0,5,47,2
5/22/2021,A,3,0,5,47,3
5/14/2021,B,1,0,10,4,2
5/15/2021,B,2,0,10,4,3
5/16/2021,B,3,0,10,4,4
5/24/2021,C,1,0,15,31,1
5/25/2021,C,2,0,15,31,3
5/26/2021,C,3,0,15,31,4
5/28/2021,D,1,0,20,49,1
5/29/2021,D,2,0,20,49,1
5/30/2021,D,3,1,20,49,3
5/20/2021,E,1,0,25,23,2
5/21/2021,E,2,0,25,23,2
5/22/2021,E,3,0,25,23,1
5/14/2021,F,1,0,30,15,1
5/15/2021,F,2,0,30,15,3
5/16/2021,F,3,0,30,15,4
5/24/2021,G,1,0,35,12,2
5/25/2021,G,2,0,35,12,3
5/26/2021,G,3,0,35,12,4
5/28/2021,H,1,0,40,43,2
5/29/2021,H,2,1,40,43,3
5/30/2021,H,3,1,40,43,3
5/20/2021,I,1,0,45,39,1
5/21/2021,I,2,1,45,39,2
5/22/2021,I,3,1,45,39,3
5/14/2021,J,1,1,50,38,1
5/15/2021,J,2,0,50,38,3
5/16/2021,J,3,1,50,38,4
5/24/2021,K,1,0,55,47,2
5/25/2021,K,2,1,55,47,3
5/26/2021,K,3,1,55,47,4
5/28/2021,L,1,0,60,54,1
5/29/2021,L,2,0,60,54,2
5/30/2021,L,3,1,60,54,4
5/20/2021,M,1,0,65,9,1
5/21/2021,M,2,0,65,9,3
5/22/2021,M,3,0,65,9,3
5/14/2021,N,1,0,70,50,2
5/15/2021,N,2,1,70,50,2
5/16/2021,N,3,1,70,50,4
5/24/2021,O,1,0,75,11,1
5/25/2021,O,2,0,75,11,2
5/26/2021,O,3,0,75,11,4
5/28/2021,P,1,0,80,55,1
5/29/2021,P,2,1,80,55,3
5/30/2021,P,3,1,80,55,3
5/20/2021,Q,1,0,72,5,2
5/21/2021,Q,2,0,72,5,3
5/22/2021,Q,3,0,72,5,4
5/14/2021,R,1,0,61,40,1
5/15/2021,R,2,0,61,40,2
5/16/2021,R,3,0,61,40,3
5/24/2021,S,1,0,53,42,1
5/25/2021,S,2,1,53,42,2
5/26/2021,S,3,1,53,42,4
5/28/2021,T,1,0,46,46,1
5/29/2021,T,2,0,46,46,1
5/30/2021,T,3,1,46,46,2
5/20/2021,U,1,0,32,48,1
5/21/2021,U,2,0,32,48,3
5/22/2021,U,3,0,32,48,4
5/14/2021,V,1,0,27,52,2
5/15/2021,V,2,1,27,52,3
5/16/2021,V,3,1,27,52,4
5/24/2021,W,1,0,19,10,1
5/25/2021,W,2,0,19,10,3
5/26/2021,W,3,0,19,10,4
5/28/2021,X,1,0,12,25,1
5/29/2021,X,2,0,12,25,2
5/30/2021,X,3,0,12,25,4
5/20/2021,Y,1,0,4,16,1
