Date,Site,Survey,Count,Clay,Time
7/6/2008,A,1,62,80,6
7/7/2008,A,2,57,80,7
7/8/2008,A,3,49,80,8
7/9/2008,A,4,2,80,11
7/10/2008,A,5,1,80,12
7/6/2008,B,1,54,70,6
7/7/2008,B,2,50,70,7
7/8/2008,B,3,29,70,9
7/9/2008,B,4,30,70,10
7/10/2008,B,5,1,70,12
7/6/2008,C,1,41,60,6
7/7/2008,C,2,44,60,8
7/8/2008,C,3,35,60,8
7/9/2008,C,4,20,60,9
7/10/2008,C,5,3,60,11
7/6/2008,D,1,29,45,7
7/7/2008,D,2,26,45,7
7/8/2008,D,3,23,45,7
7/9/2008,D,4,20,45,8
7/10/2008,D,5,2,45,12
7/6/2008,E,1,30,35,6
7/7/2008,E,2,27,35,6
7/8/2008,E,3,29,35,9
7/9/2008,E,4,4,35,11
7/6/2008,F,1,1,25,11
7/7/2008,F,2,2,25,12
7/8/2008,F,3,18,25,7
7/9/2008,F,4,21,25,6
7/6/2008,G,1,6,10,7
7/7/2008,G,2,5,10,8
7/8/2008,G,3,1,10,11
7/9/2008,G,4,0,10,12
7/6/2008,H,1,3,5,6
7/7/2008,H,2,2,5,7
7/8/2008,H,3,0,5,10
7/9/2008,H,4,0,5,12
