RootFolder,File,RelativePath,Dark,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
Lands Camera Photos,IMG_0001.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:09,4,BCHER,
Lands Camera Photos,IMG_0002.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:11,4,BCHER,
Lands Camera Photos,IMG_0003.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:12,4,BCHER,
Lands Camera Photos,IMG_0004.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:14,4,BCHER,
Lands Camera Photos,IMG_0005.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:16,4,BCHER,
Lands Camera Photos,IMG_0006.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:17,4,BCHER,
Lands Camera Photos,IMG_0007.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:18,4,BCHER,
Lands Camera Photos,IMG_0008.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:19,4,BCHER,
Lands Camera Photos,IMG_0009.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:20,4,BCHER,
Lands Camera Photos,IMG_0010.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:22,4,BCHER,
Lands Camera Photos,IMG_0011.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:23,4,BCHER,
Lands Camera Photos,IMG_0012.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:24,4,BCHER,
Lands Camera Photos,IMG_0013.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:25,4,BCHER,
Lands Camera Photos,IMG_0014.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-17 08:59:26,4,BCHER,
Lands Camera Photos,IMG_0015.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-17 08:59:27,4,BCHER,
