File,RelativePath,Folder,ImageQuality,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
RCNX0001.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:38:36,1,WVWA,
RCNX0002.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:38:50,1,WVWA,
RCNX0003.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:39:06,1,WVWA,
RCNX0004.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:39:22,1,WVWA,
RCNX0005.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:39:38,1,WVWA,
RCNX0006.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:39:54,1,WVWA,
RCNX0007.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:40:08,1,WVWA,
RCNX0008.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,1,,0,,setup,,false,false,false, 2020-06-24 10:40:24,1,WVWA,
RCNX0009.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 10:40:38,1,WVWA,
RCNX0010.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 11:17:42,1,WVWA,
RCNX0011.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 13:58:04,1,WVWA,
RCNX0012.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:18:26,1,WVWA,
RCNX0013.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:20:36,1,WVWA,
RCNX0014.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:21:16,1,WVWA,
RCNX0015.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:23:00,1,WVWA,
RCNX0016.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:23:50,1,WVWA,
RCNX0017.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,unknown,1,,0,Possibly Butterfly or Moth,,,false,false,false, 2020-06-24 14:24:10,1,WVWA,
RCNX0018.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,unknown,1,,0,Possibly Butterfly or Moth on lower right,,,false,false,false, 2020-06-24 14:25:30,1,WVWA,
RCNX0019.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,unknown,1,,0,Possibly Butterfly or Moth on lower right,,,false,false,false, 2020-06-24 14:25:46,1,WVWA,
RCNX0020.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,unknown,1,,0,Possibly Butterfly or Moth on right,,,false,false,false, 2020-06-24 14:26:00,1,WVWA,
RCNX0021.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:26:34,1,WVWA,
RCNX0022.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,unknown,0,,0,Possibly Butterfly or Moth,,,false,false,false, 2020-06-24 14:26:48,1,WVWA,
RCNX0023.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:27:04,1,WVWA,
RCNX0024.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,possibly Butterfly,,,false,false,false, 2020-06-24 14:33:44,1,WVWA,
RCNX0025.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,possibly Butterfly,,,false,false,false, 2020-06-24 14:34:18,1,WVWA,
RCNX0026.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:36:34,1,WVWA,
RCNX0027.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:36:58,1,WVWA,
RCNX0028.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:38:28,1,WVWA,
RCNX0029.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:39:00,1,WVWA,
RCNX0030.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:39:18,1,WVWA,
RCNX0031.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:39:40,1,WVWA,
RCNX0032.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:40:04,1,WVWA,
RCNX0033.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:40:20,1,WVWA,
RCNX0034.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:40:46,1,WVWA,
RCNX0035.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:41:12,1,WVWA,
RCNX0036.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:41:52,1,WVWA,
RCNX0037.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:42:08,1,WVWA,
RCNX0038.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:42:26,1,WVWA,
RCNX0039.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-06-24 14:42:40,1,WVWA,
