RootFolder,File,RelativePath,Dark,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
Lands Camera Photos,RCNX0001.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:36,6,WVWA,
Lands Camera Photos,RCNX0002.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:38,6,WVWA,
Lands Camera Photos,RCNX0003.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:39,6,WVWA,
Lands Camera Photos,RCNX0004.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:42,6,WVWA,
Lands Camera Photos,RCNX0005.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:45,6,WVWA,
Lands Camera Photos,RCNX0006.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:46,6,WVWA,
Lands Camera Photos,RCNX0007.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:54,6,WVWA,
Lands Camera Photos,RCNX0008.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:55,6,WVWA,
Lands Camera Photos,RCNX0009.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:56,6,WVWA,
Lands Camera Photos,RCNX0010.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:57,6,WVWA,
Lands Camera Photos,RCNX0011.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:52:59,6,WVWA,
